company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,source_file
ENSERA,,cc9996a3121656ce,,Lakeland,FL,,US,biopharmguy_cmos,https://www.ensera.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PLD PHARMA SERVICES,,fd6793e1601cbc48,,Miami,FL,,US,biopharmguy_cmos,https://www.pldpharma.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PHARMALAB,,2f1f79ea066cc735,,Miami Lakes,FL,,US,biopharmguy_cmos,https://www.pharmalabenterprises.com/,,,,,,,,biopharmguy_cmos_standardized.csv
STRUCTURE MEDICAL,,028700f289e7643f,,Naples,FL,,US,biopharmguy_cmos,https://www.structuremedical.com/,,,,,,,,biopharmguy_cmos_standardized.csv
APIJECT,,6836cfbfaa66f4e2,,Oakland,FL,,US,biopharmguy_cmos,https://apiject.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ASPIRE HEALTH SCIENCE,,380643c1e3132605,,Orlando,FL,,US,biopharmguy_cmos,https://aspire2cure.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BIOSAFE SOLUTIONS,,7801ee7319009f8b,,Orlando,FL,,US,biopharmguy_cmos,https://biosafesolutions.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PROFOUNDA,,4f504274581ec968,,Orlando,FL,,US,biopharmguy_cmos,https://www.profounda.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PACE,,665db306aadcdd84,,Ormond Beach,FL,,US,biopharmguy_cmos,https://www.pacelabs.com/,,,,,,,,biopharmguy_cmos_standardized.csv
GBI BIOMANUFACTURING,,27605b378add1f48,,Plantation,FL,,US,biopharmguy_cmos,https://www.gbibio.com/,,,,,,,,biopharmguy_cmos_standardized.csv
DOT DECIMAL,,cde234cec93376ad,,Sanford,FL,,US,biopharmguy_cmos,https://dotdecimal.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ORGANABIO,,7537630f4e9e693c,,South Miami,FL,,US,biopharmguy_cmos,https://www.organabio.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CATALENT,,c2769615d29c6827,,St. Petersburg,FL,,US,biopharmguy_cmos,https://www.catalent.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CARDIOCOMMAND,,fbce8bc04451828e,,Tampa,FL,,US,biopharmguy_cmos,https://cardiocommand.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CATALENT,,8f52fd540df12546,,Tampa,FL,,US,biopharmguy_cmos,https://www.catalent.com/,,,,,,,,biopharmguy_cmos_standardized.csv
IMMUNOLOGIX LABORATORIES,,64f9d16542c7781c,,Tampa,FL,,US,biopharmguy_cmos,https://www.immunologixlabs.com/,,,,,,,,biopharmguy_cmos_standardized.csv
LONZA,,9dbb042724f04022,,Tampa,FL,,US,biopharmguy_cmos,https://www.lonza.com/,,,,,,,,biopharmguy_cmos_standardized.csv
AALTO SCIENTIFIC,,15a77ce69951b5ae,,Eatonton,GA,,US,biopharmguy_cmos,https://www.aaltoscientific.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BEND BIOSCIENCE,,917f0d54e33573ec,,Gainesville,GA,,US,biopharmguy_cmos,https://bendbioscience.com/,,,,,,,,biopharmguy_cmos_standardized.csv
